Unnamed: 0,erbmi,ertpreat,eudrink,eueat,euexercise,eufastfd,eufdsit,euprpmel,eusoda,eugenhth,codified_bmi,codified_health
118,23.700001,50,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2,1
120,27.4,70,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3,1
121,26.5,60,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3,1
122,36.599998,75,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,3,1
123,30.4,45,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3,1
124,22.1,50,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2,1
125,21.299999,75,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2,1
127,26.200001,65,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3,1
129,27.700001,105,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3,1
131,27.1,20,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3,1
132,32.5,60,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3,1
136,27.4,240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1
137,23.799999,155,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2,1
138,31.9,90,1.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,3,2
140,19.200001,15,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2,1
141,30.1,180,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3,1
143,26.4,70,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3,1
144,20.6,60,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2,1
148,38.099998,40,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3,1
150,21.6,15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2,1
151,24.9,35,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2,1
153,26.9,105,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3,1
154,25.799999,25,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3,1
155,26.799999,30,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3,1
157,29.6,182,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,3,2
159,35.200001,80,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,3,1
160,29.5,0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3,1
